Tweet Datetime,text,location
2021-10-02 23:19:20,"Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembali dan ekonomi bisa tumbuh. #ppkm #covi̇d19 #prokes #BersatuLawanCorona #polrestabanan https://t.co/LKmKVlkJOJ",
2021-10-02 23:18:51,"RT @ruhutsitompul: Hidup ini mengalir dimanapun Kita nikmatilah dgn sebaik baiknya seperti Adik penjual jajan pasar ini, gembira terus ya U…",
2021-10-02 23:18:48,"@FOODFESS2 Bulan puasa kemaren tengah hari istri tb"" ngidam mcd, yaudah jalan kaki ke mcd dket rumah, taunya yg boleh order cuma via drivethru atau ojol krn ppkm + ramadhan, yaudah pesen g*fud sambil nunggu di parkiran mcd.",
2021-10-02 23:16:02,PPKM Level 3 Bali Beri Harapan bagi Karyawan Krisna Oleh-oleh Bali yang Dirumahkan https://t.co/7QP9SFS83J,"Jakarta, Indonesia"
2021-10-02 23:14:20,@BadmintonTalk ppkm oe,neraka jahanam
2021-10-02 23:13:37,"RT @TabananPolres: Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembal…",
2021-10-02 23:12:55,"Giat Operasi Yustisi, Woro-woro, PPKM Darurat Level 2 Dalam Penegakan Disiplin Prokes Untuk Memutus Mata Rantai Penyebaran Covid-19 Terhadap Para anak muda yg sedang nongkrong.
https://t.co/EaE4nCvkuq https://t.co/HAnBxzDdR4",
2021-10-02 23:10:38,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 23:09:44,"RT @TabananHumas: Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembali…",
2021-10-02 23:09:36,"Giat Operasi Yustisi, Woro-woro, PPKM Darurat Level 2 Dalam Penegakan Disiplin Prokes Untuk Memutus Mata Rantai Penyebaran Covid-19 Terhadap Para anak muda yg sedang nongkrong, Dipimpin Oleh Kapolsek Tirtajaya
https://t.co/aoLhBTZQSu https://t.co/ZQmArL3t6p",
2021-10-02 23:09:06,"Giat Operasi Yustisi, Woro-woro, PPKM Darurat Level 2 Dalam Penegakan Disiplin Prokes Untuk Memutus Mata Rantai Penyebaran Covid-19 Terhadap Para anak muda yg sedang nongkrong, Dipimpin Oleh Kapolsek Tirtajaya
https://t.co/bc2CjegKtJ https://t.co/EOnL5XD9ha",
2021-10-02 23:08:37,@shandanoni @JakaAdy Bukannya kita masih ppkm ya? Apa sy salah liat berita? 🤔,"Depok, Indonesia"
2021-10-02 23:07:51,"RT @KangSemproel: Happy Satnite on the PPKM Lepel 3..
Saat sholat masih menjaga jarak
Saat shalat Ied (pernah) ditiadakan
Saat kumpul2 acar…",Bumi Allah SWT
2021-10-02 23:06:21,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 23:06:20,"Giat Operasi Yustisi, Woro-woro, PPKM Darurat Level 2 Dalam Penegakan Disiplin Prokes Untuk Memutus Mata Rantai Penyebaran Covid-19 Terhadap Para anak muda yg sedang nongkrong, Dipimpin Oleh Kapolsek Tirtajaya
https://t.co/rk7OSkf88z https://t.co/61XEzhkw9G",
2021-10-02 23:04:21,"@MEY_MAKNYAAREK2 @putraragista Sebelum ppkm ada Jeng, sekarang kurang tau.. biasanya maem2 menu penyetan depan Masjid Jami' aku..",
2021-10-02 23:02:19,"PPKM Longgar, Penumpang Kereta Api dan Pesawat Melonjak https://t.co/hmyLzlDiwV","koealasimpunk, Id"
2021-10-02 23:02:17,"MAU DAPAT PEMASUKAN MUDAH DI KALA PPKM ???
GABUNG AJA BERSAMA KAMI .
Game Yang Seru Dan Dapat Di Mainkan Kapan pun , Untuk Mengisi Waktu Luang Kita !!
WhatsApp : https://t.co/8a9gBRpJAa / +6287742132884 https://t.co/MOUazSOtkU",
2021-10-02 23:01:49,"RT @TMCPoldaMetro: 10.09 Selama masa PPKM Level 3 berlangsung, kebijakan pembatasan kendaraan R4 dengan sistem GAGE di ruas Jl. Sudirman, T…","West Borneo, Indonesia"
2021-10-02 23:00:52,"Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembali dan ekonomi bisa tumbuh. #ppkm #covi̇d19 #prokes #BersatuLawanCorona #polrestabanan https://t.co/qxHP0dZp6j",
2021-10-02 22:59:15,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,jakartah
2021-10-02 22:56:44,RT @HumasPoldaJatim: Wakapolda Jatim Zoom Meeting dengan Pimpinan Menko Marinves agenda Rakor Persiapan Pelaksanaan PPKM Level 1 untuk Kota…,"Situbondo, Indonesia"
2021-10-02 22:52:31,"RT @YanGuning2: Bismillah
Jaket outdor jaket The Bojiel original hrg 210rb bhn taslan waterfrof. Hrga PPKM 145rb yu order bro,  sis yg dulu…",⛔porno⛔bipang⛔cebong⛔penistaAg
2021-10-02 22:51:22,@jaxxksnwng dasaaar mas mentang² ppkm wkwk,busy loving mas brian😠💗
2021-10-02 22:49:41,Melihat bandung kembali macet aduhai dengan plat plat luar kota apa lagi di bandung utara. Saya meminta pemerintah untuk meningkatkan kembali lv ppkm dan mengembalikan lalu lintas bandung seperti masa pandemi soalnya keliatannya udh beres sih pandeminya pada asik gitu jalan jalan,"Bandung, Indonesia"
2021-10-02 22:48:50,"Astungkara semua daerah zona kuning, jangan lengah tetap disiplin Prokes agar penyebaran Covid-19 tidak meningkat kembali dan ekonomi bisa tumbuh. #ppkm #covi̇d19 #prokes #BersatuLawanCorona #polrestabanan https://t.co/oV6mcALwdC",
2021-10-02 22:45:11,"RT @KangSemproel: Happy Satnite on the PPKM Lepel 3..
Saat sholat masih menjaga jarak
Saat shalat Ied (pernah) ditiadakan
Saat kumpul2 acar…",Surockboyo City
2021-10-02 22:42:36,"PON kelar, izin konser juga di tarik lagi. Liat aja, PPKM ketat lagi. Miskin lagi.","Jakarta Capital Region, Indone"
2021-10-02 22:42:14,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,
2021-10-02 22:39:20,@biibillaaa @BaekBoy__ Gabisa bersama kirain PPKM ternyata beda Agama.,"Kediri, Jawa Timur"
2021-10-02 22:38:56,"@ntaanituul @MochaaKochaa @shandanoni @JakaAdy Masa? Anak kecil aja blm, pengalaman sy stay di kampung 1-2 bulan pas ketat lg ppkm dapet vaksin itu susah banget bisa 1 bulan sekali dateng, sekalinya dateng diantriin sama ratusan orang. Saya sendiri sih ga yakin, blm juga ada yang memang punya kondisi sistemik",JKT - BDO
2021-10-02 22:38:11,"Sabtu, 02/10/2021 Pkl 21.00 Wib s.d selesai Sertu Rohmad brsm Aipda Rasmo dan Bripka Yulian melaksanakan giat operasi Yustisi/Penyekatan dan Pelaksanaan *PPKM LEVEL 3* membatasi Mobilitas Perpindahan Masyarakat di wilayah Kecamatan  Sukodono
@Kodim_Sragen https://t.co/lCwJGX2W4Y",
2021-10-02 22:37:50,"RT @ditpromkes: Hi Healthies,

Penurunan kasus Covid-19 dan level PPKM bukan berarti kita sudah lepas dari virus tersebut, kita tidak boleh…","Jakarta Selatan, DKI Jakarta"
2021-10-02 22:37:03,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,Jawa Timur
2021-10-02 22:36:12,"@alisyarief @jokowi Pajak tinggi dan smkin bnyk item yg dipjaki, hmpir smua kbutuhan impor, harga listrik &amp; bbm naik diam2 srta saat pandemi rakyat dikurung dg ppkm tnpa di jmin smua kbutuhnnya.

Oligarki sbuk rebutan SDA..

Jlas minim skli berpihk pd rkyat kecil..",
2021-10-02 22:33:03,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,Banten
2021-10-02 22:31:02,"Kepri Sudah PPKM Level 2, Test Antigen Ditiadakan untuk Bepergian Dalam Daerah https://t.co/B4guuqGVnq",
2021-10-02 22:25:26,@ayu_trianna Ahhh biarin udah. Kapan lg coba? Keburu PPKM lg ntar 😂,
2021-10-02 22:23:36,@dancowprideee lagi ppkm mungkin,earth🙏
2021-10-02 22:11:08,wkwkwkwk ini mah ppkm level -4 ramenya pepes malioboro,
2021-10-02 22:10:47,"RT @Lelaki_5unyi: Pekan Raya Cengkareng atau Pasar Malam JB (Jalan Baru) Cengkareng ,Jakarta Barat,pada Sabtu (02-10-21) malam tadi di penu…",
2021-10-02 22:09:01,"Selamat pagi Kota Semarang...silahkan yang kemarin pada gak bisa terapi karna PPKM,sekarang syudah aman tuuh..hehe..
#pijitsemarang #massagesemarang #availSemarang #massagepanggilan #pijatvitalitas #TrustedBooking #TRUSTEDBISYAR #TrustedAngeL 
#pijatpasutri 
#JadiLebih
#RealAngel https://t.co/MKTMAi8VAQ","Yogyakarta, Indonesia"
2021-10-02 22:04:08,"@ribonk Gaya hidup sedenter :'''
Semenjak ppkm belum olahraga lagi",
2021-10-02 21:56:24,Kebun Binatang Surabaya (KBS) dibuka kembali. KBS dibuka setelah tutup selama pemberlakuan pembatasan kegiatan masyarakat (PPKM). https://t.co/7BQoiE0reB,"Jakarta, Indonesia"
2021-10-02 21:49:34,RT @Riza_Taufan: Week end di era ppkm darurat https://t.co/qYSrQFUDNL,"Bandar Lampung, Lampung"
2021-10-02 21:48:17,"PPKM Lebih Longgar, PMI Manufaktur September Naik ke Posisi 52,2

 #Sindonews #BukanBeritaBiasa .https://t.co/ADgi7JbtKp","Jakarta Pusat, DKI Jakarta"
2021-10-02 21:38:15,"@afrilrini Mrka msh PPKM (Pelan"" kembali mesra) kok 😄😄",Indonesia 
2021-10-02 21:37:40,"RT @afrilrini: Pasangan favoritku gini terus ya jangan PPKM lagi😭😭
#IkatanCinta 
#IkatanCintaEp457 https://t.co/6QUxgikbOH",Indonesia 
2021-10-02 21:37:35,"RT @Lelaki_5unyi: Pekan Raya Cengkareng atau Pasar Malam JB (Jalan Baru) Cengkareng ,Jakarta Barat,pada Sabtu (02-10-21) malam tadi di penu…",blueEarth
2021-10-02 21:35:05,"RT @Lelaki_5unyi: Pekan Raya Cengkareng atau Pasar Malam JB (Jalan Baru) Cengkareng ,Jakarta Barat,pada Sabtu (02-10-21) malam tadi di penu…",
2021-10-02 21:33:57,"Pekan Raya Cengkareng atau Pasar Malam JB (Jalan Baru) Cengkareng ,Jakarta Barat,pada Sabtu (02-10-21) malam tadi di penuhi pengunjung atau warga Di PPKM Level 3. https://t.co/C0aW3leelB",+60 Bukik Tambun Tulang
2021-10-02 21:28:17,"@barcastuff_idn terusin aja 

kayak PPKM doerpanjang 😃",
2021-10-02 21:27:08,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,"Sidoarjo, Indonesia"
2021-10-02 21:26:17,"MAU DAPAT PEMASUKAN MUDAH DI KALA PPKM ???
GABUNG AJA BERSAMA KAMI .
Game Yang Seru Dan Dapat Di Mainkan Kapan pun , Untuk Mengisi Waktu Luang Kita !!
WhatsApp : https://t.co/8a9gBRpJAa / +6287742132884 https://t.co/EwdZPpqL52",
2021-10-02 21:18:58,"RT @IndonesiaBaikId: Hai, SohIB! Ketentuan #Resepsi dan akad nikah selama #PPKM Level 2-4 memiliki penyesuaian sesuai Inmendagri No. 43 Th…",
2021-10-02 21:14:08,@zoelfick Makanya beliau ngg mau lockdown cuma diam di rumah meski dipaksa paksa oleh sebagaian orang. Itu jebakan. Pokoknya mesti tetap gerak meski dikit2. Lahirlah PPKM. Tuh mn bs begitu skrg kalau setahun ndekem di kamar.,jogja
2021-10-02 20:53:58,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,Indonesia
2021-10-02 20:49:52,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 20:23:59,ppkm mikro adalah,Rental Kursi jakarta INDONESIA
2021-10-02 20:18:10,"over t hit 3pm be like:

kita ini skr ada di ppkm level brp sih?",
2021-10-02 20:17:57,"Apel Patroli Tiga Pilar dipimpin Kabag Ops Polres Metro Jakarta Pusat AKBP Guntur Muhammad Tariq S.IK, giat dalam rangka PPKM Level 3, Penegakan Prokes Covid-19 dan antisipasi Kejahatan Jalanan, Tawuran Antar Warga di Wilayah Menteng.

@PolresJakPus @divisihumaspolri https://t.co/RvkkkFXXpz",
2021-10-02 20:17:01,"Ppkm Level 3 Taman Menteng Jakarta Pusat

@PolresJakPus @divisihumaspolri @poldametrojaya #polresjakartapusat #divisihumaspolri #poldametrojaya https://t.co/6XNzQTkIVM",
2021-10-02 20:09:28,"PPKM LEVEL 3 Taman Suropati Menteng

@PolresJakPus @divisihumaspolri @poldametrojaya #polresjakartapusat #divisihumaspolri #poldametrojaya https://t.co/LECaXSgMvf",
2021-10-02 20:09:13,"@iwan_kurus_lagi @Mdy_Asmara1701 @adriCB8 @DKIJakarta Tunggu opung real presidentnya koit dulu..
selesai deh ppkm😅",
2021-10-02 20:07:45,"PPKM LEVEL 3 Taman Suropati Menteng

@PolresJakPus @divisihumaspolri @poldametrojaya #polresjakartapusat #divisihumaspolri #poldametrojaya https://t.co/svQbVHOB6G",
2021-10-02 20:03:00,"RT @ciciwulandari69: Sange ni Vcs yuk ada yg mau nemenin tante lagi colmek gak beb... Wa:082172491314
https://t.co/MopCUTpkGJ
#PPKM #Gempa…","Peliatan, Ubud_ Gianyar - Bali"
2021-10-02 20:00:15,"RT @ciciwulandari69: Sange ni Vcs yuk ada yg mau nemenin tante lagi colmek gak beb... Wa:082172491314
https://t.co/MopCUTpkGJ
#PPKM #Gempa…",
2021-10-02 19:59:05,"RT @ciciwulandari69: Sange ni Vcs yuk ada yg mau nemenin tante lagi colmek gak beb... Wa:082172491314
https://t.co/MopCUTpkGJ
#PPKM #Gempa…",
2021-10-02 19:58:01,"RT @ciciwulandari69: Sange ni Vcs yuk ada yg mau nemenin tante lagi colmek gak beb... Wa:082172491314
https://t.co/MopCUTpkGJ
#PPKM #Gempa…",
2021-10-02 19:56:57,"RT @ciciwulandari69: Sange ni Vcs yuk ada yg mau nemenin tante lagi colmek gak beb... Wa:082172491314
https://t.co/MopCUTpkGJ
#PPKM #Gempa…","Malang, Jawa Timur"
2021-10-02 19:52:51,@HENDERYein ppkm diperpanjang sampai kau jadi milikku,
2021-10-02 19:51:05,"Sange ni Vcs yuk ada yg mau nemenin tante lagi colmek gak beb... Wa:082172491314
https://t.co/MopCUTpkGJ
#PPKM #Gempa #cilacap #malamminggu #Paris #chatseks #natashawilona #vcssangek https://t.co/fXnSaLeTpd","Yogyakarta, Indonesia"
2021-10-02 19:43:38,"RT @pidressitubondo: Eksistensi Guna Optimalkan PPKM Darurat, Polsek Panji Rutin Gelar Ops Yustisi https://t.co/kH1kC5Wfk1",Indonesia
2021-10-02 19:43:13,RT @HumasPoldaJatim: Wakapolda Jatim Zoom Meeting dengan Pimpinan Menko Marinves agenda Rakor Persiapan Pelaksanaan PPKM Level 1 untuk Kota…,Indonesia
2021-10-02 19:40:40,"RT @respaskot11: PENYEKATAN JALUR 3 PILAR KOTA PASURUAN

Penyekatan Jalur di wilayah hukum Polres Pasuruan Kota bertujuan untuk mencegah pe…",Indonesia
2021-10-02 19:40:22,RT @respaskot11: Polres Pasuruan Kota Bersama Instansi Terkait melaksanakan Bagi Masker Gratis di masa PPKM Level 1 Covid-19 Jawa Bali kepa…,Indonesia
2021-10-02 19:23:53,"RT @mardiasih: vidkol Adinda buat mengumumkan bantuan (kelas 1smp, ibu meninggal covid). Dagangan Bapaknya cuma buka sebentar karena ppkm d…","Bandung, Indonesia"
2021-10-02 19:22:11,"RT @PusdalopsBantul: Update : Rekap Data Implementasi PPKM

Zonasi Pengendalian Covid-19 di Tingkat Rukun Tetangga dari 75 Kalurahan, se Ka…",jogjakarta
2021-10-02 19:17:41,"Kenapa harus ppkm si, ga ada yg 24jam kan susah",
2021-10-02 19:15:58,"RT @incloudyxe: @immaculategomez @JakaAdy mjb, aku dari Bali dan di Bali sejauh ini belum ada berita tentang ga wajib pake masker. itu bera…",
2021-10-02 19:15:26,"Polres Pasuruan Kota Bersama Instansi Terkait melaksanakan Bagi Masker Gratis di masa PPKM Level 1 Covid-19 Jawa Bali kepada Masyarakat di wilayah hukum Polres Pasuruan Kota.

#polripresisi #presisi #jawatimurbangkit #jogopaskot #lawancovid19 #protokolkesehatan #ppkmlevel1 https://t.co/1yacs6HCMo","Kota Pasuruan, Jawa Timur"
2021-10-02 19:14:43,"PENYEKATAN JALUR 3 PILAR KOTA PASURUAN

Penyekatan Jalur di wilayah hukum Polres Pasuruan Kota bertujuan untuk mencegah penyebaran Covid-19 dan mengurangi mobilitas masyarakat.

#polripresisi #presisi #jawatimurbangkit #jogopaskot #lawancovid19 #protokolkesehatan #ppkm https://t.co/G1fFLGIhot","Kota Pasuruan, Jawa Timur"
2021-10-02 19:07:09,"Cek 8 daftar bantuan sosial pemerintah dibulan Oktober 2021, klik tautan dibawah ini https://t.co/yHhZ1buB4z",
2021-10-02 18:56:25,"Sementara ppkm ya dek ga bole ke pantai, tp demi kamu pantai yg ta suruh ke rumah 😄 https://t.co/9CF9HFI2sn",jepara.
2021-10-02 18:56:20,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 18:55:39,RT @tvOneNews: Shaf Sholat Boleh Kembali Rapat Berlaku di Zona Hijau dan PPKM Level 1 https://t.co/IEkwh9qNQ4,
2021-10-02 18:55:33,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 18:52:55,Limit nya bak PPKM(diperpanjang) harusnya hari ini nggak limit malah limit jadi total 6hr.semoga limit ini membawa berkah winner. Aamiin.,Ladang Berkah
2021-10-02 18:50:39,"@tubirfess Baru longgar ppkm udah mau party2 aja, ntar di kencengin lagi nyalahin pemerintah~",Indonesia
2021-10-02 18:47:03,"PPKM Darurat, OJK Pastikan Tetap Awasi Jasa Keuangan https://t.co/4ZnPuf7hF3",Indonesia
2021-10-02 18:40:36,Sudah bebas PPKM di Papua? https://t.co/osvpVwaE0A,"DKI Jakarta, Indonesia"
2021-10-02 18:31:43,"@Hanyaiooo Gak dlu, ppkm 😶",Neverland
2021-10-02 18:27:30,@ahengdri ppkm bs mnutup ap aj,sumo-cell and solvers alumnus.
2021-10-02 18:24:25,"Satpol PP kabupaten Grobogan Bersama Tim Gabungan POLRI TNI melakukan Pengawasan PPKM Level 2 dan Protkes Pengendalian Covid-19 di wilayah kota Purwodadi pada Hari Sabtu tanggal 02 Oktober 2021

@ditpolpp_linmas @satpolpp_jateng @SumarniGrobogan @grobogan_polres @kodimgrobogan https://t.co/nlsCqiDBFi","Purwodadi, Indonesia"
2021-10-02 18:19:31,@Kaniama4 Ora sah ujian kan ppkm,
2021-10-02 18:18:15,"Sayang bngt ya PPKM gini ga bisa nerima tamu..
Tp aku bisa kok nerima kamu🥰🥰🥰 @treasuremembers https://t.co/GY8OCmeuuE",
2021-10-02 18:12:26,"RT @_Banyoe: Jika edukasinya PPKM, masker, social distancing, wajib vax, trecing tes, wajib tes semua aktivitas termasuk di RS smtra semua…",Papua
2021-10-02 18:12:21,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 18:12:10,"RT @ENS53311139: Sedikit potret kekejaman cina komunis yang menertibkan para pedagang kaki lima ..

Tanpa memperdulikan ada bayi, org tua d…",
2021-10-02 18:10:45,"Kukar - Upaya menekan dan memutus mata rantai penyebaran Covid-19 terus dilakukan oleh petugas gabungan dari Polres Kutai Kartanegara, Kodim 0906/KKR, Satpol PP dan Dinas Perhubungan yang bertugas di Pos Terpadu PPKM Level 4, Sabtu (02/10/21).
.
.
#PolresKukar https://t.co/b30aRTYdUo","Kalimantan Timur, Indonesia"
2021-10-02 18:09:16,"Kukar - Posko terpadu Mangkurawang dalam kegiatan PPKM level 4 melaksanakan kegiatan penerapan disiplin dan penegakkan hukum protokol kesehatan covid- 19, Sabtu (02/10/21).
.
.
#PolresKukar #poldakaltim #divisihumaspolri #kukar #thebestpol https://t.co/VsiYcn2vFi","Kalimantan Timur, Indonesia"
2021-10-02 18:08:58,"Kukar - Sat Binmas Polres Kutai Kartanegara melakukan kegiatan sosial, dengan membagikan bantuan sosial (Bansos) yang berupa beras kepada masyarakat yang terdampak wabah covid -19 dan penerapan PPKM level 4. Sabtu (02/10/21).
.
.
#PolresKukar #poldakaltim #divisihumaspolri #kukar https://t.co/ZRI2d9Fs8R","Kalimantan Timur, Indonesia"
